iter	RMSE
0	0.1414276622
1	0.1384455627
2	0.1355663716
3	0.1329920598
4	0.1301895392
5	0.1273650742
6	0.1247722745
7	0.1222208896
8	0.1197419707
9	0.117254489
10	0.1151214585
11	0.1129732148
12	0.1108683589
13	0.1086989985
14	0.1066169936
15	0.1047038235
16	0.1028210689
17	0.1010257665
18	0.09926248746
19	0.09751166614
20	0.09595630936
21	0.09438394168
22	0.09293543681
23	0.09165382236
24	0.09033893277
25	0.08896484045
26	0.0877676023
27	0.08662650308
28	0.0855079376
29	0.08432740746
30	0.08335837559
31	0.08240643456
32	0.08143587674
33	0.0804891607
34	0.07956676808
35	0.07866688045
36	0.07774012881
37	0.07688939881
38	0.07607142487
39	0.07517739753
40	0.07436572446
41	0.0736873363
42	0.07304899445
43	0.07230835619
44	0.07166925282
45	0.0710380695
46	0.07042235077
47	0.0698158327
48	0.06913233575
49	0.06861422177
50	0.06807873064
51	0.06757685347
52	0.06707843785
53	0.06655894494
54	0.06611522569
55	0.06561359884
56	0.06515091059
57	0.06469292353
58	0.06429385203
59	0.06394058203
60	0.06367166342
61	0.06336379876
62	0.06306537739
63	0.06273310138
64	0.06244200628
65	0.06212485987
66	0.06176382595
67	0.06147120158
68	0.06113344564
69	0.06083488287
70	0.06048662217
71	0.06022214842
72	0.0599785573
73	0.05967378297
74	0.05947939288
75	0.05932501148
76	0.05908996494
77	0.05887921369
78	0.05862986413
79	0.0583324629
80	0.05812559053
81	0.05796086249
82	0.05778259246
83	0.0576401118
84	0.05741975393
85	0.05724808576
86	0.057107953
87	0.05698640261
88	0.05682211752
89	0.05670283763
90	0.05651852675
91	0.05636921559
92	0.05617857332
93	0.05594932797
94	0.05578428466
95	0.055666202
96	0.05547735245
97	0.05538148988
98	0.05521256927
99	0.05512434545
100	0.05499621718
101	0.05487916783
102	0.05477994477
103	0.05462812045
104	0.05447820044
105	0.05439815954
106	0.05427702649
107	0.05419075421
108	0.05413541636
109	0.0540605239
110	0.05393321569
111	0.05383651265
112	0.05372080016
113	0.05357661495
114	0.05346344014
115	0.05335440794
116	0.05326155352
